Date,*ST盈方000670.SZ,*ST德豪002005.SZ,紫光国微002049.SZ,苏州固锝002079.SZ,中环股份002129.SZ,通富微电002156.SZ,纳思达002180.SZ,华天科技002185.SZ,拓日新能002218.SZ,北方华创002371.SZ,国星光电002449.SZ,协鑫集成002506.SZ,爱康科技002610.SZ,亚玛顿002623.SZ,万润科技002654.SZ,木林森002745.SZ,天龙光电300029.SZ,台基股份300046.SZ,欧比特300053.SZ,国民技术300077.SZ,易成新能300080.SZ,乾照光电300102.SZ,向日葵300111.SZ,东方日升300118.SZ,晓程科技300139.SZ,东软载波300183.SZ,北京君正300223.SZ,瑞丰光电300241.SZ,长方集团300301.SZ,聚飞光电300303.SZ,晶盛机电300316.SZ,华灿光电300323.SZ,中颖电子300327.SZ,南大光电300346.SZ,扬杰科技300373.SZ,艾比森300389.SZ,中来股份300393.SZ,耐威科技300456.SZ,全志科技300458.SZ,富瀚微300613.SZ,捷捷微电300623.SZ,圣邦股份300661.SZ,富满电子300671.SZ,国科微300672.SZ,聚灿光电300708.SZ,捷佳伟创300724.SZ,航天机电600151.SH,上海贝岭600171.SH,华微电子600360.SH,*ST海润600401.SH,士兰微600460.SH,亿晶光电600537.SH,长电科技600584.SH,太极实业600667.SH,三安光电600703.SH,隆基股份601012.SH,京运通601908.SH,晶方科技603005.SH,芯能科技603105.SH,汇顶科技603160.SH,金辰股份603396.SH,韦尔股份603501.SH,福斯特603806.SH,兆易创新603986.SH
2018-01-02,247629470.0000,0.0000,1511674867.0000,231233048.0000,1295195869.0000,344094942.0000,37072434.0000,420240839.0000,286324441.0000,518340183.0000,264451601.0000,243111210.0000,61573942.0000,14551568.0000,27812886.0000,0.0000,8413544.0000,164281914.0000,133737307.0000,313456586.0000,28624458.0000,274228070.0000,12439849.0000,48770403.0000,15664239.0000,75186168.0000,482963944.0000,55383643.0000,7847696.0000,44992544.0000,391526383.0000,144395934.0000,110365274.0000,22671038.0000,272484583.0000,18382456.0000,31402882.0000,51879045.0000,131533592.0000,175244166.0000,76374207.0000,67337488.0000,75301722.0000,159310396.0000,532466739.0000,0.0000,41888450.0000,635196796.0000,169103006.0000,26838033.0000,2432321075.0000,30475147.0000,697461997.0000,546699299.0000,824204333.0000,1189489116.0000,43501662.0000,683775153.0000,0.0000,146326027.0000,57206300.0000,425422396.0000,30074078.0000,0.0000
2018-01-03,278839672.0000,0.0000,2247511319.0000,238238154.0000,1077024958.0000,379658550.0000,103598165.0000,643152298.0000,389972751.0000,518222876.0000,158677853.0000,194006570.0000,62821160.0000,23905280.0000,32703993.0000,0.0000,10470755.0000,177667054.0000,207574225.0000,606119751.0000,37988356.0000,335900548.0000,21058092.0000,45836583.0000,20828520.0000,115986548.0000,402090926.0000,62188712.0000,15739550.0000,34425509.0000,367304215.0000,131449664.0000,143014255.0000,78722438.0000,310800976.0000,11377446.0000,39998780.0000,153022803.0000,156757524.0000,88269199.0000,123893882.0000,62790131.0000,55376779.0000,159462737.0000,523311745.0000,0.0000,70026356.0000,724689585.0000,223311597.0000,61063345.0000,2293634279.0000,45220038.0000,659451034.0000,546015108.0000,1097526603.0000,1125389415.0000,59149756.0000,391092159.0000,0.0000,215163285.0000,65099370.0000,432883062.0000,31306221.0000,0.0000
2018-01-04,524686635.0000,0.0000,2656298516.0000,371045116.0000,1954513246.0000,590176798.0000,43084284.0000,652980830.0000,212053008.0000,582362745.0000,135310602.0000,111031109.0000,74227197.0000,34096426.0000,31391326.0000,0.0000,8423307.0000,221486303.0000,269022221.0000,379098645.0000,26795634.0000,351013627.0000,19908015.0000,38499065.0000,20124270.0000,113301996.0000,540882022.0000,90286779.0000,8565350.0000,38337384.0000,393486930.0000,124679579.0000,238169379.0000,41626929.0000,236230235.0000,16472756.0000,38180182.0000,90697591.0000,219210677.0000,126551744.0000,100397677.0000,63421417.0000,92121361.0000,210709893.0000,736614606.0000,0.0000,76400802.0000,1120292883.0000,304588371.0000,79150577.0000,3397517706.0000,111534868.0000,775966506.0000,1065474645.0000,744036528.0000,914466945.0000,56792183.0000,291053196.0000,0.0000,165600547.0000,122631473.0000,759840446.0000,24595722.0000,0.0000
2018-01-05,287939533.0000,0.0000,1543552212.0000,278007209.0000,1187293404.0000,433254086.0000,112777162.0000,781261869.0000,190394815.0000,664052453.0000,168332257.0000,102447297.0000,57746260.0000,20574443.0000,28372937.0000,153097108.0000,8158984.0000,174217796.0000,181205215.0000,232345396.0000,28188857.0000,326391267.0000,12837005.0000,25061903.0000,17779948.0000,143989172.0000,307646188.0000,57347581.0000,35830223.0000,23152608.0000,750136075.0000,179528119.0000,144292710.0000,46577744.0000,211082726.0000,9579772.0000,28924727.0000,54271915.0000,197609156.0000,132583845.0000,137642950.0000,60964308.0000,73262369.0000,185997218.0000,463515205.0000,0.0000,61341644.0000,632346375.0000,207520840.0000,99812571.0000,2294552474.0000,65543444.0000,550111061.0000,594066700.0000,651934896.0000,1138345202.0000,52638332.0000,269773336.0000,0.0000,219644452.0000,67948780.0000,715467206.0000,29284580.0000,0.0000
2018-01-08,243392775.0000,0.0000,1550533966.0000,285731056.0000,1319342732.0000,415830591.0000,79666976.0000,495674036.0000,257431762.0000,505752557.0000,142583949.0000,154824306.0000,79572671.0000,16936575.0000,27251877.0000,98323105.0000,9068679.0000,112895004.0000,246132309.0000,315273500.0000,23066348.0000,310918971.0000,13635044.0000,48023561.0000,16771263.0000,105616394.0000,419915672.0000,121005181.0000,12147761.0000,30109899.0000,385052637.0000,378657746.0000,131329284.0000,36916715.0000,237448470.0000,9608452.0000,26312593.0000,54085292.0000,170543873.0000,92040613.0000,105534413.0000,68157312.0000,47472137.0000,150494303.0000,366124993.0000,0.0000,65570632.0000,795845313.0000,273254687.0000,96369924.0000,2184885452.0000,49642606.0000,691307728.0000,513809404.0000,1076693537.0000,1023883247.0000,49099945.0000,190807978.0000,0.0000,147970192.0000,62347988.0000,575224047.0000,39018390.0000,0.0000
2018-01-09,251941337.0000,0.0000,856274049.0000,161241485.0000,742221550.0000,218131014.0000,47210509.0000,271112430.0000,188826034.0000,288736507.0000,96912695.0000,162398871.0000,62451715.0000,15565522.0000,22357084.0000,72498369.0000,12521604.0000,86646134.0000,386766244.0000,231965783.0000,40899180.0000,178232161.0000,11007300.0000,32466278.0000,13808991.0000,61223258.0000,296877343.0000,84250828.0000,9617088.0000,15382543.0000,319527891.0000,229885571.0000,79967249.0000,25705220.0000,150427914.0000,8306408.0000,21693892.0000,35919084.0000,121695179.0000,75786232.0000,46862648.0000,51035896.0000,38213207.0000,101393355.0000,348705197.0000,0.0000,47971007.0000,477746137.0000,184201935.0000,104362516.0000,2060974377.0000,44917704.0000,494416066.0000,389180816.0000,830311388.0000,751328873.0000,37032873.0000,104760628.0000,0.0000,118582079.0000,79486695.0000,428656435.0000,22054061.0000,0.0000
2018-01-10,209007007.0000,0.0000,1045793710.0000,241903290.0000,1164958077.0000,444471099.0000,59787029.0000,310454374.0000,201758489.0000,485547919.0000,140197705.0000,91764824.0000,353518228.0000,20008346.0000,26522357.0000,127315143.0000,12345922.0000,116613238.0000,295502740.0000,412352607.0000,37106850.0000,149618451.0000,12631000.0000,38849173.0000,20121529.0000,88359405.0000,432285310.0000,54988585.0000,7567092.0000,21721819.0000,615944522.0000,250355223.0000,95014335.0000,29779124.0000,313530616.0000,9425229.0000,45874493.0000,36436732.0000,104810900.0000,136658726.0000,76514075.0000,75396525.0000,55930061.0000,106175474.0000,351077346.0000,0.0000,47380270.0000,533742608.0000,181512432.0000,78231017.0000,1874677939.0000,48705374.0000,601493056.0000,335755506.0000,600964177.0000,907583539.0000,54304202.0000,157797829.0000,0.0000,173392568.0000,117044402.0000,397357970.0000,29468092.0000,0.0000
2018-01-11,169450620.0000,0.0000,1131696727.0000,214644092.0000,750999449.0000,622295563.0000,44595253.0000,501023203.0000,128449084.0000,308696088.0000,124433771.0000,81844763.0000,432687811.0000,16648596.0000,30926900.0000,87599428.0000,7826713.0000,160326827.0000,258116765.0000,289618699.0000,32404124.0000,181587430.0000,13304207.0000,29502057.0000,18733038.0000,132725269.0000,360308297.0000,43906537.0000,8518127.0000,37559644.0000,337389259.0000,229768238.0000,104786878.0000,78809169.0000,245031172.0000,10717710.0000,74164697.0000,28685541.0000,143410297.0000,152320503.0000,74570005.0000,60409459.0000,51163211.0000,314284391.0000,423097606.0000,0.0000,40965488.0000,422989251.0000,179426883.0000,65644851.0000,1723070962.0000,35813029.0000,539859248.0000,351260942.0000,608164713.0000,1064789696.0000,42417217.0000,154167796.0000,0.0000,150852338.0000,166857688.0000,399184904.0000,21653888.0000,0.0000
2018-01-12,130352197.0000,0.0000,970498616.0000,247215570.0000,677854921.0000,501781138.0000,74180742.0000,478042305.0000,171203868.0000,336825524.0000,199324657.0000,89642714.0000,2107907306.0000,11294151.0000,36956655.0000,179444918.0000,8099810.0000,138985546.0000,180528884.0000,201926448.0000,24820285.0000,509719644.0000,13995320.0000,33079903.0000,10204612.0000,75822137.0000,247167606.0000,23491555.0000,11943899.0000,29834722.0000,276922325.0000,185449726.0000,322718228.0000,46534914.0000,212315591.0000,6287114.0000,41964784.0000,24576135.0000,105005183.0000,134353581.0000,54491946.0000,68715040.0000,46160768.0000,204476322.0000,267110019.0000,0.0000,32086034.0000,515781317.0000,169352768.0000,60105240.0000,1592860189.0000,41007447.0000,395627837.0000,293101442.0000,745221123.0000,810764898.0000,26815373.0000,106784455.0000,0.0000,119749952.0000,144849953.0000,451990869.0000,19182253.0000,0.0000
2018-01-15,226613016.0000,0.0000,1956141287.0000,336186655.0000,846832245.0000,703305301.0000,71343581.0000,791165158.0000,179088877.0000,503813162.0000,243462732.0000,146034047.0000,1340959946.0000,15869684.0000,29753732.0000,79010948.0000,9772677.0000,155478915.0000,216255563.0000,494526857.0000,29004552.0000,225911159.0000,16603568.0000,67639405.0000,31284650.0000,117735302.0000,261161986.0000,43447155.0000,9540300.0000,33298611.0000,349314049.0000,170613826.0000,132105471.0000,200064006.0000,245737600.0000,9389139.0000,33001784.0000,69415571.0000,175456365.0000,188178820.0000,108199552.0000,61034795.0000,48167565.0000,150479143.0000,260046543.0000,0.0000,72167092.0000,586992952.0000,200799224.0000,70445653.0000,1784258373.0000,63330045.0000,1047704916.0000,412653425.0000,1727807213.0000,1091525387.0000,57218322.0000,147649992.0000,0.0000,208809562.0000,85316019.0000,488018098.0000,30348865.0000,0.0000
