Date,market_volume
2018-01-02,178402032875.0000
2018-01-03,205726889556.0000
2018-01-04,174523556133.0000
2018-01-05,185206293226.0000
2018-01-08,226403872932.0000
2018-01-09,181975079758.0000
2018-01-10,194850253886.0000
2018-01-11,170407305946.0000
2018-01-12,157606210635.0000
2018-01-15,234986586088.0000
2018-01-16,228271224756.0000
2018-01-17,284554359815.0000
2018-01-18,225289688909.0000
2018-01-19,258554725360.0000
2018-01-22,233960223311.0000
2018-01-23,257113359897.0000
2018-01-24,284470809530.0000
2018-01-25,250308091870.0000
2018-01-26,223331309122.0000
2018-01-29,256176323789.0000
2018-01-30,186650566155.0000
2018-01-31,194401798025.0000
2018-02-01,239230298933.0000
2018-02-02,191169867288.0000
2018-02-05,217360144504.0000
2018-02-06,279415083155.0000
2018-02-07,261507027391.0000
2018-02-08,199061771955.0000
2018-02-09,246774828431.0000
2018-02-12,149858043556.0000
2018-02-13,144479354377.0000
2018-02-14,93110201390.0000
2018-02-22,138334361735.0000
2018-02-23,128195835194.0000
2018-02-26,179013093605.0000
2018-02-27,169684900954.0000
2018-02-28,152493909262.0000
2018-03-01,146003456663.0000
2018-03-02,130931181201.0000
2018-03-05,118197859452.0000
2018-03-06,171370654136.0000
2018-03-07,136572305560.0000
2018-03-08,123634637120.0000
2018-03-09,150024119651.0000
2018-03-12,190367593786.0000
2018-03-13,141174160638.0000
2018-03-14,131537959370.0000
2018-03-15,126882452702.0000
2018-03-16,122125342027.0000
2018-03-19,118183815140.0000
2018-03-20,111980234031.0000
2018-03-21,139330411871.0000
2018-03-22,127664337990.0000
2018-03-23,218905031317.0000
2018-03-26,156604527227.0000
2018-03-27,162291546573.0000
2018-03-28,155848951057.0000
2018-03-29,164996782981.0000
2018-03-30,137959280455.0000
2018-04-02,159356080038.0000
2018-04-03,132049936105.0000
2018-04-04,131593067938.0000
2018-04-09,118167273509.0000
2018-04-10,137941300225.0000
2018-04-11,139989290630.0000
2018-04-12,108075565476.0000
2018-04-13,98921826969.0000
2018-04-16,131566866868.0000
2018-04-17,126518751972.0000
2018-04-18,143077676004.0000
2018-04-19,127520121562.0000
2018-04-20,123550664541.0000
2018-04-23,111763031500.0000
2018-04-24,145700512791.0000
2018-04-25,105750449452.0000
2018-04-26,125772304515.0000
2018-04-27,142113627600.0000
2018-05-02,120083483290.0000
2018-05-03,122740168864.0000
2018-05-04,98315254609.0000
2018-05-07,126354800811.0000
2018-05-08,135445862529.0000
2018-05-09,92322896271.0000
2018-05-10,103255140585.0000
2018-05-11,107715457040.0000
2018-05-14,122520047995.0000
2018-05-15,106091905845.0000
2018-05-16,106533930265.0000
2018-05-17,87104164680.0000
2018-05-18,96823851809.0000
2018-05-21,120528726019.0000
2018-05-22,102883344897.0000
2018-05-23,110684503206.0000
2018-05-24,93408219637.0000
2018-05-25,95667543827.0000
2018-05-28,100001639047.0000
2018-05-29,117288580582.0000
2018-05-30,115858975810.0000
2018-05-31,130545422180.0000
2018-06-01,105934865863.0000
2018-06-04,115146468450.0000
2018-06-05,121261467224.0000
2018-06-06,107142041766.0000
2018-06-07,112365710702.0000
2018-06-08,107818798321.0000
2018-06-11,105597924649.0000
2018-06-12,116217139615.0000
2018-06-13,97185498920.0000
2018-06-14,99234014984.0000
2018-06-15,109534900847.0000
2018-06-19,193848797293.0000
2018-06-20,112804812786.0000
2018-06-21,115584149028.0000
2018-06-22,89687282053.0000
2018-06-25,106690345317.0000
2018-06-26,108132167346.0000
2018-06-27,107628896582.0000
2018-06-28,98570527345.0000
2018-06-29,97616367299.0000
2018-07-02,107601540659.0000
2018-07-03,129898019347.0000
2018-07-04,93648559089.0000
2018-07-05,97544619590.0000
2018-07-06,109481942501.0000
2018-07-09,100918863679.0000
2018-07-10,90127445728.0000
2018-07-11,89661507129.0000
2018-07-12,117805514793.0000
2018-07-13,99800184924.0000
2018-07-16,90754288081.0000
2018-07-17,85720563654.0000
2018-07-18,88556873195.0000
2018-07-19,88804907805.0000
2018-07-20,122196953815.0000
2018-07-23,143960930682.0000
2018-07-24,177448954019.0000
2018-07-25,112176694173.0000
2018-07-26,105577285189.0000
2018-07-27,81192174902.0000
2018-07-30,96183097601.0000
2018-07-31,80022152109.0000
2018-08-01,107477214866.0000
2018-08-02,122401283623.0000
2018-08-03,91395987151.0000
2018-08-06,97517991022.0000
2018-08-07,107512223951.0000
2018-08-08,90958912013.0000
2018-08-09,108802315182.0000
2018-08-10,85634522136.0000
2018-08-13,90869290864.0000
2018-08-14,72121992610.0000
2018-08-15,83402193917.0000
2018-08-16,89269175663.0000
2018-08-17,84452452538.0000
2018-08-20,88963382602.0000
2018-08-21,97925840442.0000
2018-08-22,66548536184.0000
2018-08-23,80212785558.0000
2018-08-24,77197847852.0000
2018-08-27,114960964551.0000
2018-08-28,94945949810.0000
2018-08-29,79072300213.0000
2018-08-30,80226052652.0000
2018-08-31,96091892858.0000
2018-09-03,81305681453.0000
2018-09-04,85892034874.0000
2018-09-05,80656675217.0000
2018-09-06,79373138216.0000
2018-09-07,81263439990.0000
2018-09-10,76175580337.0000
2018-09-11,67722118923.0000
2018-09-12,68887020056.0000
2018-09-13,85887962113.0000
2018-09-14,76481211956.0000
2018-09-17,60650940908.0000
2018-09-18,83899137593.0000
2018-09-19,109395423838.0000
2018-09-20,76660845175.0000
2018-09-21,123573117858.0000
2018-09-25,82870029933.0000
2018-09-26,119113319089.0000
2018-09-27,87573300845.0000
2018-09-28,94880274572.0000
2018-10-08,114164218382.0000
2018-10-09,78372941345.0000
2018-10-10,79166808585.0000
2018-10-11,125723084486.0000
2018-10-12,104423076623.0000
2018-10-15,77137696800.0000
2018-10-16,75206470956.0000
2018-10-17,86132695913.0000
2018-10-18,79703731919.0000
2018-10-19,110951369122.0000
2018-10-22,170651306178.0000
2018-10-23,142589176815.0000
2018-10-24,120954387288.0000
2018-10-25,113291746430.0000
2018-10-26,106070366760.0000
2018-10-29,108479490211.0000
2018-10-30,131767102719.0000
2018-10-31,117099697836.0000
2018-11-01,145919304280.0000
2018-11-02,178340643411.0000
2018-11-05,123630922689.0000
2018-11-06,91703898055.0000
2018-11-07,101814918975.0000
2018-11-08,85221664741.0000
2018-11-09,88194192202.0000
2018-11-12,97363052032.0000
2018-11-13,125603047265.0000
2018-11-14,105386565968.0000
2018-11-15,100119192332.0000
2018-11-16,135379803919.0000
2018-11-19,123188777592.0000
2018-11-20,114155066806.0000
2018-11-21,87813273908.0000
2018-11-22,70083372615.0000
2018-11-23,86864946184.0000
2018-11-26,61899479599.0000
2018-11-27,61946261110.0000
2018-11-28,77620553113.0000
2018-11-29,86927611883.0000
2018-11-30,77297697684.0000
2018-12-03,145828416490.0000
2018-12-04,90543600274.0000
2018-12-05,90909093830.0000
2018-12-06,95678883444.0000
2018-12-07,66323970657.0000
2018-12-10,73717204733.0000
2018-12-11,60014969779.0000
2018-12-12,60536223474.0000
2018-12-13,103375478637.0000
2018-12-14,91576900505.0000
2018-12-17,77151490858.0000
2018-12-18,72035451400.0000
2018-12-19,67872922423.0000
2018-12-20,78181426504.0000
2018-12-21,84824064753.0000
2018-12-24,63880740605.0000
2018-12-25,80413567307.0000
2018-12-26,58574968998.0000
2018-12-27,81159269974.0000
2018-12-28,78145310042.0000
